sample_accession	experiment_accession	run_accession	sample_alias
SAMN11849016	SRX5990723	SRR9220404	cx_0004_0060_c8
SAMN11849017	SRX5990722	SRR9220405	cx_0004_0060_c9
SAMN11849018	SRX5990721	SRR9220406	cx_0004_0060_d7
SAMN11848068	SRX5990720	SRR9220407	cx_0004_0082_a11
SAMN11848067	SRX5990719	SRR9220408	cx_0004_0082_a10
SAMN11848066	SRX5990718	SRR9220409	cx_0004_0068_h10
SAMN11848065	SRX5990717	SRR9220410	cx_0004_0068_e9
SAMN11848072	SRX5990716	SRR9220411	cx_0004_0082_b11
SAMN11848071	SRX5990715	SRR9220412	cx_0004_0082_b10
SAMN11848070	SRX5990714	SRR9220413	cx_0004_0082_a9
SAMN11848069	SRX5990713	SRR9220414	cx_0004_0082_a12
SAMN11848372	SRX5990712	SRR9220415	am_0171_0088_a5
SAMN11848371	SRX5990711	SRR9220416	am_0171_0051_h6
SAMN11848370	SRX5990710	SRR9220417	aa_0143_0089_h9
SAMN11848369	SRX5990709	SRR9220418	aa_0143_0089_h2
SAMN11848368	SRX5990708	SRR9220419	aa_0143_0089_d9
SAMN11848367	SRX5990707	SRR9220420	aa_0143_0089_d1
SAMN11848366	SRX5990706	SRR9220421	aa_0143_0089_d10
SAMN11848365	SRX5990705	SRR9220422	aa_0143_0089_c4
SAMN11848311	SRX5990704	SRR9220423	af_0058_0034_a10
SAMN11848312	SRX5990703	SRR9220424	af_0058_0034_d12
SAMN11848309	SRX5990702	SRR9220425	aa_0143_0089_g8
SAMN11848516	SRX5990701	SRR9220426	an_0080_0048_d5
SAMN11848822	SRX5990700	SRR9220427	am_0111_0080_h2
SAMN11848819	SRX5990699	SRR9220428	am_0111_0080_g4
SAMN11848820	SRX5990698	SRR9220429	am_0111_0080_g5
SAMN11848660	SRX5990697	SRR9220430	am_0006_0094_f4
SAMN11848659	SRX5990696	SRR9220431	am_0006_0094_a9
SAMN11848515	SRX5990695	SRR9220432	an_0080_0048_d4
SAMN11848661	SRX5990694	SRR9220433	am_0006_0094_g11
SAMN11848223	SRX5990693	SRR9220434	am_0171_0090_h4
SAMN11848224	SRX5990692	SRR9220435	am_0171_0090_h6
SAMN11848658	SRX5990691	SRR9220436	am_0006_0094_a8
SAMN11848657	SRX5990690	SRR9220437	am_0006_0094_a12
SAMN11848219	SRX5990689	SRR9220438	am_0171_0090_c8
SAMN11848220	SRX5990688	SRR9220439	am_0171_0090_d4
SAMN11848221	SRX5990687	SRR9220440	am_0171_0090_d5
SAMN11848222	SRX5990686	SRR9220441	am_0171_0090_e1
SAMN11848215	SRX5990685	SRR9220442	am_0171_0081_h5
SAMN11848216	SRX5990684	SRR9220443	am_0171_0081_h6
SAMN11848217	SRX5990683	SRR9220444	am_0171_0090_b3
SAMN11848218	SRX5990682	SRR9220445	am_0171_0090_c2
SAMN11848650	SRX5990681	SRR9220446	am_0003_0093_f3
SAMN11848649	SRX5990680	SRR9220447	am_0003_0093_f2
SAMN11848652	SRX5990679	SRR9220448	am_0003_0093_g3
SAMN11848651	SRX5990678	SRR9220449	am_0003_0093_g2
SAMN11848646	SRX5990677	SRR9220450	am_0003_0093_c9
SAMN11848645	SRX5990676	SRR9220451	am_0003_0093_c6
SAMN11848648	SRX5990675	SRR9220452	am_0003_0093_e3
SAMN11848647	SRX5990674	SRR9220453	am_0003_0093_d3
SAMN11848654	SRX5990673	SRR9220454	am_0003_0093_h3
SAMN11848653	SRX5990672	SRR9220455	am_0003_0093_g5
SAMN11848909	SRX5990671	SRR9220456	av_0103_0059_e5
SAMN11848753	SRX5990670	SRR9220457	am_0052_0079_d5
SAMN11848310	SRX5990669	SRR9220458	aa_0143_0089_g9
SAMN11848307	SRX5990668	SRR9220459	aa_0143_0089_g5
SAMN11848308	SRX5990667	SRR9220460	aa_0143_0089_g8-BIS
SAMN11848305	SRX5990666	SRR9220461	aa_0143_0089_f1
SAMN11848306	SRX5990665	SRR9220462	aa_0143_0089_f2
SAMN11849035	SRX5990664	SRR9220463	cx_0004_0072_b11
SAMN11848785	SRX5990663	SRR9220464	am_0070_0079_f11
SAMN11848194	SRX5990662	SRR9220465	am_0171_0081_d2
SAMN11848193	SRX5990661	SRR9220466	am_0171_0081_c5
SAMN11848192	SRX5990660	SRR9220467	am_0171_0081_c3
SAMN11848191	SRX5990659	SRR9220468	am_0171_0081_c2
SAMN11848190	SRX5990658	SRR9220469	am_0171_0081_b5
SAMN11848189	SRX5990657	SRR9220470	am_0171_0081_b4
SAMN11848188	SRX5990656	SRR9220471	am_0171_0081_b3
SAMN11848187	SRX5990655	SRR9220472	am_0171_0081_b2
SAMN11848186	SRX5990654	SRR9220473	am_0171_0081_a6
SAMN11848185	SRX5990653	SRR9220474	am_0171_0081_a5
SAMN11848579	SRX5990652	SRR9220475	an_0080_0067_h7
SAMN11848580	SRX5990651	SRR9220476	an_0080_0067_h8
SAMN11848581	SRX5990650	SRR9220477	an_0080_0067_h9
SAMN11848582	SRX5990649	SRR9220478	an_0080_0012_e8
SAMN11848575	SRX5990648	SRR9220479	an_0080_0067_g8
SAMN11848576	SRX5990647	SRR9220480	an_0080_0067_g9
SAMN11848544	SRX5990646	SRR9220481	an_0080_0067_a10
SAMN11848813	SRX5991309	SRR9220482	am_0111_0080_e5
SAMN11848775	SRX5991308	SRR9220483	am_0052_0079_h6
SAMN11848811	SRX5991307	SRR9220484	am_0111_0080_e2
SAMN11848475	SRX5991306	SRR9220485	am_0171_0088_f2
SAMN11848809	SRX5991305	SRR9220486	am_0111_0080_d6
SAMN11848808	SRX5991304	SRR9220487	am_0111_0080_d5
SAMN11848807	SRX5991303	SRR9220488	am_0111_0080_d4
SAMN11848776	SRX5991302	SRR9220489	am_0052_0084_a2
SAMN11848805	SRX5991301	SRR9220490	am_0111_0080_d2
SAMN11848353	SRX5991300	SRR9220491	cx_0004_0077_e1
SAMN11848672	SRX5991299	SRR9220492	am_0025_0074_b8
SAMN11848669	SRX5991298	SRR9220493	am_0025_0074_a11
SAMN11848670	SRX5991297	SRR9220494	am_0025_0074_a8
SAMN11848667	SRX5991296	SRR9220495	am_0014_0091_h1
SAMN11848668	SRX5991295	SRR9220496	am_0014_0091_h6
SAMN11848354	SRX5991294	SRR9220497	cx_0004_0077_e2
SAMN11848666	SRX5991293	SRR9220498	am_0014_0091_h10
SAMN11848480	SRX5991292	SRR9220499	am_0171_0090_d6
SAMN11848673	SRX5991291	SRR9220500	am_0025_0074_c9
SAMN11848674	SRX5991290	SRR9220501	am_0025_0074_d10
SAMN11848641	SRX5991289	SRR9220502	am_0003_0093_b3
SAMN11848642	SRX5991288	SRR9220503	am_0003_0093_b6
SAMN11848479	SRX5991287	SRR9220504	am_0171_0090_b8
SAMN11848640	SRX5991286	SRR9220505	am_0003_0093_a3
SAMN11848637	SRX5991285	SRR9220506	am_0001_0092_h4
SAMN11848638	SRX5991284	SRR9220507	am_0001_0092_h7
SAMN11848635	SRX5991283	SRR9220508	am_0001_0092_h1
SAMN11848636	SRX5991282	SRR9220509	am_0001_0092_h2
SAMN11848482	SRX5991281	SRR9220510	am_0171_0090_e4
SAMN11848481	SRX5991280	SRR9220511	am_0171_0090_e3
SAMN11848644	SRX5991279	SRR9220512	am_0003_0093_c3
SAMN11848484	SRX5991278	SRR9220513	am_0171_0090_g6
SAMN11848176	SRX5991277	SRR9220514	am_0171_0068_f5
SAMN11848177	SRX5991276	SRR9220515	am_0171_0068_h3
SAMN11848178	SRX5991275	SRR9220516	am_0171_0074_a3
SAMN11848179	SRX5991274	SRR9220517	am_0171_0074_d4
SAMN11848180	SRX5991273	SRR9220518	am_0171_0074_f6
SAMN11848181	SRX5991272	SRR9220519	am_0171_0074_g2
SAMN11848182	SRX5991271	SRR9220520	am_0171_0074_h4
SAMN11848183	SRX5991270	SRR9220521	am_0171_0081_a2
SAMN11848184	SRX5991269	SRR9220522	am_0171_0081_a3
SAMN11848545	SRX5991268	SRR9220523	an_0080_0067_a11
SAMN11848546	SRX5991267	SRR9220524	an_0080_0067_a12
SAMN11848547	SRX5991266	SRR9220525	an_0080_0067_a8
SAMN11848548	SRX5991265	SRR9220526	an_0080_0067_a9
SAMN11848549	SRX5991264	SRR9220527	an_0080_0067_b10
SAMN11848550	SRX5991263	SRR9220528	an_0080_0067_b12
SAMN11848551	SRX5991262	SRR9220529	an_0080_0067_b7
SAMN11848552	SRX5991261	SRR9220530	an_0080_0067_b8
SAMN11848553	SRX5991260	SRR9220531	an_0080_0067_c10
SAMN11848554	SRX5991259	SRR9220532	an_0080_0067_c11
SAMN11848727	SRX5991258	SRR9220533	am_0052_0075_a5
SAMN11848614	SRX5991257	SRR9220534	am_0001_0092_b3
SAMN11848728	SRX5991256	SRR9220535	am_0052_0075_b3
SAMN11849039	SRX5991255	SRR9220536	cx_0004_0072_d10
SAMN11848613	SRX5991254	SRR9220537	am_0001_0092_a4
SAMN11848789	SRX5991253	SRR9220538	am_0070_0084_b5
SAMN11848792	SRX5991252	SRR9220539	am_0111_0076_a5
SAMN11848791	SRX5991251	SRR9220540	am_0070_0085_f6
SAMN11848733	SRX5991250	SRR9220541	am_0052_0075_e3
SAMN11848694	SRX5991249	SRR9220542	am_0025_0078_c11
SAMN11848788	SRX5991248	SRR9220543	am_0070_0079_h8
SAMN11848787	SRX5991247	SRR9220544	am_0070_0079_g9
SAMN11848689	SRX5991246	SRR9220545	am_0025_0078_a9
SAMN11848483	SRX5991245	SRR9220546	am_0171_0090_f2
SAMN11848414	SRX5991244	SRR9220547	am_0171_0089_c10
SAMN11848929	SRX5991243	SRR9220548	av_0103_0073_h11
SAMN11849019	SRX5991242	SRR9220549	cx_0004_0060_d8
SAMN11848346	SRX5991241	SRR9220550	bj_0095_0031_f8
SAMN11848101	SRX5991240	SRR9220551	aa_0143_0081_d1
SAMN11848102	SRX5991239	SRR9220552	aa_0143_0081_e1
SAMN11849021	SRX5991238	SRR9220553	cx_0004_0060_e7
SAMN11848103	SRX5991237	SRR9220554	aa_0143_0081_f1
SAMN11849022	SRX5991236	SRR9220555	cx_0004_0060_e8
SAMN11848806	SRX5991235	SRR9220556	am_0111_0080_d3
SAMN11848104	SRX5991234	SRR9220557	aa_0143_0081_g1
SAMN11849015	SRX5991233	SRR9220558	cx_0004_0060_c7
SAMN11848905	SRX5991232	SRR9220559	av_0103_0059_d4
SAMN11848906	SRX5991231	SRR9220560	av_0103_0059_d5
SAMN11848907	SRX5991230	SRR9220561	av_0103_0059_d6
SAMN11848908	SRX5991229	SRR9220562	av_0103_0059_e4
SAMN11848671	SRX5991228	SRR9220563	am_0025_0074_b11
SAMN11848910	SRX5991227	SRR9220564	av_0103_0059_e6
SAMN11848911	SRX5991226	SRR9220565	av_0103_0059_f5
SAMN11848912	SRX5991225	SRR9220566	av_0103_0059_f6
SAMN11848913	SRX5991224	SRR9220567	av_0103_0059_g4
SAMN11848914	SRX5991223	SRR9220568	av_0103_0059_g5
SAMN11848150	SRX5991222	SRR9220569	am_0171_0050_a4
SAMN11848147	SRX5991221	SRR9220570	am_0171_0050_a1
SAMN11848329	SRX5991220	SRR9220571	ao_0067_0062_b6
SAMN11848330	SRX5991219	SRR9220572	ao_0067_0062_f5
SAMN11848331	SRX5991218	SRR9220573	ao_0067_0062_f6
SAMN11848332	SRX5991217	SRR9220574	ao_0067_0062_f7
SAMN11848325	SRX5991216	SRR9220575	ao_0067_0059_d1
SAMN11848326	SRX5991215	SRR9220576	ao_0067_0062_a5
SAMN11848327	SRX5991214	SRR9220577	ao_0067_0062_a7
SAMN11848690	SRX5991213	SRR9220578	am_0025_0078_b11
SAMN11848734	SRX5991212	SRR9220579	am_0052_0075_f4
SAMN11848692	SRX5991211	SRR9220580	am_0025_0078_b9
SAMN11848685	SRX5991210	SRR9220581	am_0025_0078_a11
SAMN11848686	SRX5991209	SRR9220582	am_0025_0078_a12
SAMN11848687	SRX5991208	SRR9220583	am_0025_0078_a7
SAMN11848688	SRX5991207	SRR9220584	am_0025_0078_a8
SAMN11849040	SRX5991206	SRR9220585	cx_0004_0072_d11
SAMN11848386	SRX5991205	SRR9220586	af_0058_0082_c4
SAMN11848385	SRX5991204	SRR9220587	af_0058_0082_b3
SAMN11848786	SRX5991203	SRR9220588	am_0070_0079_f9
SAMN11848394	SRX5991202	SRR9220589	bj_0095_0052_b2
SAMN11848393	SRX5991201	SRR9220590	aa_0143_0089_f4
SAMN11848891	SRX5991200	SRR9220591	ao_0067_0059_e2
SAMN11848892	SRX5991199	SRR9220592	ao_0067_0059_g1
SAMN11848889	SRX5991198	SRR9220593	ao_0067_0059_c1
SAMN11848890	SRX5991197	SRR9220594	ao_0067_0059_c2
SAMN11848887	SRX5991196	SRR9220595	ao_0067_0059_b2
SAMN11848888	SRX5991195	SRR9220596	ao_0067_0059_b3
SAMN11848885	SRX5991194	SRR9220597	an_0080_0058_g10
SAMN11848886	SRX5991193	SRR9220598	ao_0067_0059_a3
SAMN11848893	SRX5991192	SRR9220599	ao_0067_0059_g2
SAMN11848894	SRX5991191	SRR9220600	ao_0067_0059_h1
SAMN11848478	SRX5991190	SRR9220601	am_0171_0090_b2
SAMN11848947	SRX5991189	SRR9220602	bf_0095_0059_e8
SAMN11848408	SRX5991188	SRR9220603	am_0025_0085_f3
SAMN11848407	SRX5991187	SRR9220604	am_0025_0085_e3
SAMN11848406	SRX5991186	SRR9220605	am_0025_0085_e2
SAMN11848405	SRX5991185	SRR9220606	am_0025_0085_d2
SAMN11848412	SRX5991184	SRR9220607	ao_0067_0069_e2
SAMN11848411	SRX5991183	SRR9220608	ao_0067_0069_d2
SAMN11848410	SRX5991182	SRR9220609	ao_0067_0069_d1
SAMN11848328	SRX5991181	SRR9220610	ao_0067_0062_a8
SAMN11848665	SRX5991180	SRR9220611	am_0014_0091_g1
SAMN11848333	SRX5991179	SRR9220612	ao_0067_0062_g7
SAMN11848334	SRX5991178	SRR9220613	ao_0067_0062_h5
SAMN11848940	SRX5991177	SRR9220614	bf_0095_0059_b8
SAMN11848992	SRX5991176	SRR9220615	cx_0004_0024_b10
SAMN11848991	SRX5991175	SRR9220616	cx_0004_0072_e6
SAMN11849024	SRX5991174	SRR9220617	cx_0004_0060_f7
SAMN11848989	SRX5991173	SRR9220618	bq_0049_0072_b4
SAMN11848988	SRX5991172	SRR9220619	bq_0049_0072_a1
SAMN11848987	SRX5991171	SRR9220620	bj_0095_0060_h6
SAMN11848986	SRX5991170	SRR9220621	bj_0095_0060_h5
SAMN11848985	SRX5991169	SRR9220622	bj_0095_0060_h4
SAMN11849048	SRX5991168	SRR9220623	cx_0004_0072_f9
SAMN11848994	SRX5991167	SRR9220624	cx_0004_0025_b5
SAMN11848993	SRX5991166	SRR9220625	cx_0004_0025_b2
SAMN11848843	SRX5991165	SRR9220626	am_0171_0060_f3
SAMN11848837	SRX5991164	SRR9220627	am_0171_0060_d3
SAMN11848838	SRX5991163	SRR9220628	am_0171_0060_e1
SAMN11848256	SRX5991162	SRR9220629	bf_0095_0054_c10
SAMN11848255	SRX5991161	SRR9220630	bf_0095_0054_a11
SAMN11848258	SRX5991160	SRR9220631	bf_0095_0054_h8
SAMN11848257	SRX5991159	SRR9220632	bf_0095_0054_g8
SAMN11848260	SRX5991158	SRR9220633	bf_0095_0070_a6
SAMN11848259	SRX5991157	SRR9220634	bf_0095_0054_h9
SAMN11848262	SRX5991156	SRR9220635	bf_0095_0070_f4
SAMN11848261	SRX5991155	SRR9220636	bf_0095_0070_d6
SAMN11848264	SRX5991154	SRR9220637	bq_0049_0032_e11
SAMN11848263	SRX5991153	SRR9220638	bf_0095_0070_g1
SAMN11849047	SRX5991152	SRR9220639	cx_0004_0072_f8
SAMN11848632	SRX5991151	SRR9220640	am_0001_0092_g2
SAMN11848631	SRX5991150	SRR9220641	am_0001_0092_g1
SAMN11848461	SRX5991149	SRR9220642	am_0171_0074_f3
SAMN11848460	SRX5991148	SRR9220643	am_0171_0074_f2
SAMN11848459	SRX5991147	SRR9220644	am_0171_0074_e6
SAMN11848458	SRX5991146	SRR9220645	am_0171_0074_e4
SAMN11848457	SRX5991145	SRR9220646	am_0171_0074_e3
SAMN11848456	SRX5991144	SRR9220647	am_0171_0074_e2
SAMN11848455	SRX5991143	SRR9220648	am_0171_0074_d6
SAMN11848904	SRX5991142	SRR9220649	av_0103_0059_c6
SAMN11848605	SRX5991141	SRR9220650	af_0058_0044_a8
SAMN11848464	SRX5991140	SRR9220651	am_0171_0074_g4
SAMN11848463	SRX5991139	SRR9220652	am_0171_0074_f5
SAMN11848936	SRX5991138	SRR9220653	bf_0095_0054_e12
SAMN11848930	SRX5991137	SRR9220654	bf_0095_0016_d12
SAMN11848561	SRX5991136	SRR9220655	an_0080_0067_d12
SAMN11849028	SRX5991135	SRR9220656	cx_0004_0060_g9
SAMN11849027	SRX5991134	SRR9220657	cx_0004_0060_g8
SAMN11849026	SRX5991133	SRR9220658	cx_0004_0060_f9
SAMN11849025	SRX5991132	SRR9220659	cx_0004_0060_f8
SAMN11849032	SRX5991131	SRR9220660	cx_0004_0064_b7
SAMN11849031	SRX5991130	SRR9220661	cx_0004_0060_h9
SAMN11849030	SRX5991129	SRR9220662	cx_0004_0060_h8
SAMN11849029	SRX5991128	SRR9220663	cx_0004_0060_h7
SAMN11849034	SRX5991127	SRR9220664	cx_0004_0068_d10
SAMN11849033	SRX5991126	SRR9220665	cx_0004_0068_a12
SAMN11848898	SRX5991125	SRR9220666	av_0103_0059_a6
SAMN11848935	SRX5991124	SRR9220667	bf_0095_0017_f12
SAMN11848377	SRX5991123	SRR9220668	am_0171_0090_c5
SAMN11848378	SRX5991122	SRR9220669	am_0171_0090_d1
SAMN11848375	SRX5991121	SRR9220670	am_0171_0088_e5
SAMN11848376	SRX5991120	SRR9220671	am_0171_0090_a6
SAMN11848304	SRX5991119	SRR9220672	aa_0143_0089_e9
SAMN11848303	SRX5991118	SRR9220673	aa_0143_0089_a4
SAMN11848379	SRX5991117	SRR9220674	am_0171_0090_e8
SAMN11848380	SRX5991116	SRR9220675	am_0171_0090_g1
SAMN11848300	SRX5991115	SRR9220676	am_0171_0051_f4
SAMN11848299	SRX5991114	SRR9220677	af_0058_0067_h4
SAMN11848302	SRX5991113	SRR9220678	aa_0143_0087_a4
SAMN11848301	SRX5991112	SRR9220679	am_0171_0051_e1
SAMN11848296	SRX5991111	SRR9220680	aa_0143_0001_c4
SAMN11848295	SRX5991110	SRR9220681	am_0224_0084_e8
SAMN11848298	SRX5991109	SRR9220682	af_0058_0067_b5
SAMN11848297	SRX5991108	SRR9220683	aa_0143_0089_h8
SAMN11848163	SRX5991107	SRR9220684	am_0171_0050_d4
SAMN11848164	SRX5991106	SRR9220685	am_0171_0050_d6
SAMN11848157	SRX5991105	SRR9220686	am_0171_0050_c3
SAMN11848158	SRX5991104	SRR9220687	am_0171_0050_c4
SAMN11848155	SRX5991103	SRR9220688	am_0171_0050_c1
SAMN11848156	SRX5991102	SRR9220689	am_0171_0050_c2
SAMN11848161	SRX5991101	SRR9220690	am_0171_0050_d1
SAMN11848162	SRX5991100	SRR9220691	am_0171_0050_d3
SAMN11848159	SRX5991099	SRR9220692	am_0171_0050_c5
SAMN11848160	SRX5991098	SRR9220693	am_0171_0050_c6
SAMN11848588	SRX5991097	SRR9220694	am_0171_0068_f1-BIS
SAMN11848587	SRX5991096	SRR9220695	am_0171_0068_d4
SAMN11848586	SRX5991095	SRR9220696	am_0171_0068_d3
SAMN11848585	SRX5991094	SRR9220697	am_0171_0068_c4-BIS
SAMN11848592	SRX5991093	SRR9220698	am_0171_0074_h6
SAMN11848591	SRX5991092	SRR9220699	am_0171_0074_c6
SAMN11848590	SRX5991091	SRR9220700	am_0171_0074_b6
SAMN11848589	SRX5991090	SRR9220701	am_0171_0074_a4
SAMN11848594	SRX5991089	SRR9220702	am_0171_0090_d7
SAMN11848593	SRX5991088	SRR9220703	am_0171_0090_a8
SAMN11848781	SRX5991087	SRR9220704	am_0070_0079_b9
SAMN11848782	SRX5991086	SRR9220705	am_0070_0079_c9
SAMN11848409	SRX5991085	SRR9220706	ao_0067_0069_c1
SAMN11848347	SRX5991084	SRR9220707	bj_0095_0031_h4
SAMN11848348	SRX5991083	SRR9220708	cx_0004_0077_b2
SAMN11848345	SRX5991082	SRR9220709	av_0103_0014_h6
SAMN11848413	SRX5991081	SRR9220710	am_0171_0087_g7
SAMN11848351	SRX5991080	SRR9220711	cx_0004_0077_d1
SAMN11848352	SRX5991079	SRR9220712	cx_0004_0077_d2
SAMN11848349	SRX5991078	SRR9220713	cx_0004_0077_c1
SAMN11848350	SRX5991077	SRR9220714	cx_0004_0077_c2
SAMN11848477	SRX5991076	SRR9220715	am_0171_0090_b1
SAMN11849014	SRX5991075	SRR9220716	cx_0004_0060_b9
SAMN11849013	SRX5991074	SRR9220717	cx_0004_0060_b8
SAMN11849010	SRX5991073	SRR9220718	cx_0004_0060_a8
SAMN11849009	SRX5991072	SRR9220719	cx_0004_0060_a7
SAMN11849012	SRX5991071	SRR9220720	cx_0004_0060_b7
SAMN11849011	SRX5991070	SRR9220721	cx_0004_0060_a9
SAMN11849006	SRX5991069	SRR9220722	cx_0004_0037_c7
SAMN11849005	SRX5991068	SRR9220723	cx_0004_0037_b7
SAMN11849008	SRX5991067	SRR9220724	cx_0004_0053_h8
SAMN11849007	SRX5991066	SRR9220725	cx_0004_0053_h6
SAMN11848077	SRX5991065	SRR9220726	cx_0004_0082_c12
SAMN11848078	SRX5991064	SRR9220727	cx_0004_0082_c9
SAMN11848075	SRX5991063	SRR9220728	cx_0004_0082_c10
SAMN11848076	SRX5991062	SRR9220729	cx_0004_0082_c11
SAMN11848081	SRX5991061	SRR9220730	cx_0004_0082_d9
SAMN11848082	SRX5991060	SRR9220731	cx_0004_0082_e10
SAMN11848079	SRX5991059	SRR9220732	cx_0004_0082_d10
SAMN11848080	SRX5991058	SRR9220733	cx_0004_0082_d12
SAMN11848083	SRX5991057	SRR9220734	cx_0004_0082_e11
SAMN11848084	SRX5991056	SRR9220735	cx_0004_0082_e9
SAMN11848282	SRX5991055	SRR9220736	bq_0049_0054_f3
SAMN11848281	SRX5991054	SRR9220737	bq_0049_0054_e7
SAMN11848280	SRX5991053	SRR9220738	bq_0049_0054_e6
SAMN11848279	SRX5991052	SRR9220739	bq_0049_0054_e5
SAMN11848278	SRX5991051	SRR9220740	bq_0049_0054_e4
SAMN11848277	SRX5991050	SRR9220741	bq_0049_0054_e2
SAMN11848276	SRX5991049	SRR9220742	bq_0049_0054_d5
SAMN11848275	SRX5991048	SRR9220743	bq_0049_0054_d2
SAMN11848562	SRX5991047	SRR9220744	an_0080_0067_d7
SAMN11848744	SRX5991046	SRR9220745	am_0052_0079_b3
SAMN11848284	SRX5991045	SRR9220746	bq_0049_0054_f5
SAMN11848283	SRX5991044	SRR9220747	bq_0049_0054_f4
SAMN11848559	SRX5991043	SRR9220748	an_0080_0067_d10
SAMN11848574	SRX5991042	SRR9220749	an_0080_0067_g7
SAMN11848573	SRX5991041	SRR9220750	an_0080_0067_g12
SAMN11848560	SRX5991040	SRR9220751	an_0080_0067_d11
SAMN11848570	SRX5991039	SRR9220752	an_0080_0067_f9
SAMN11848569	SRX5991038	SRR9220753	an_0080_0067_f8
SAMN11848572	SRX5991037	SRR9220754	an_0080_0067_g11
SAMN11848571	SRX5991036	SRR9220755	an_0080_0067_g10
SAMN11848557	SRX5991035	SRR9220756	an_0080_0067_c8
SAMN11848565	SRX5991034	SRR9220757	an_0080_0067_f10
SAMN11848568	SRX5991033	SRR9220758	an_0080_0067_f7
SAMN11848567	SRX5991032	SRR9220759	an_0080_0067_f12
SAMN11848509	SRX5991031	SRR9220760	an_0080_0048_c3
SAMN11848510	SRX5991030	SRR9220761	an_0080_0048_c4
SAMN11848558	SRX5991029	SRR9220762	an_0080_0067_c9
SAMN11848512	SRX5991028	SRR9220763	an_0080_0048_c6
SAMN11848505	SRX5991027	SRR9220764	an_0080_0048_b4
SAMN11848506	SRX5991026	SRR9220765	an_0080_0048_b5
SAMN11848507	SRX5991025	SRR9220766	an_0080_0048_b8
SAMN11848508	SRX5991024	SRR9220767	an_0080_0048_c2
SAMN11848555	SRX5991023	SRR9220768	an_0080_0067_c12
SAMN11848513	SRX5991022	SRR9220769	an_0080_0048_c8
SAMN11848514	SRX5991021	SRR9220770	an_0080_0048_d2
SAMN11848556	SRX5991020	SRR9220771	an_0080_0067_c7
SAMN11848246	SRX5991019	SRR9220772	ao_0067_0047_h5
SAMN11848245	SRX5991018	SRR9220773	ao_0067_0047_h4
SAMN11848248	SRX5991017	SRR9220774	ao_0067_0069_a2
SAMN11848247	SRX5991016	SRR9220775	ao_0067_0047_h7
SAMN11848250	SRX5991015	SRR9220776	ao_0067_0069_d5
SAMN11848249	SRX5991014	SRR9220777	ao_0067_0069_b5
SAMN11848252	SRX5991013	SRR9220778	ao_0067_0069_g4
SAMN11848251	SRX5991012	SRR9220779	ao_0067_0069_e6
SAMN11848254	SRX5991011	SRR9220780	bf_0095_0054_a10
SAMN11848253	SRX5991010	SRR9220781	ao_0067_0069_h4
SAMN11848114	SRX5991009	SRR9220782	am_0171_0051_b8
SAMN11848113	SRX5991008	SRR9220783	am_0171_0051_b5
SAMN11848834	SRX5991007	SRR9220784	am_0171_0060_c3
SAMN11848833	SRX5991006	SRR9220785	am_0171_0060_c2
SAMN11848826	SRX5991005	SRR9220786	am_0171_0060_a1
SAMN11848825	SRX5991004	SRR9220787	am_0111_0080_h5
SAMN11848828	SRX5991003	SRR9220788	am_0171_0060_a3
SAMN11848827	SRX5991002	SRR9220789	am_0171_0060_a2
SAMN11848830	SRX5991001	SRR9220790	am_0171_0060_b2
SAMN11848829	SRX5991000	SRR9220791	am_0171_0060_b1
SAMN11848832	SRX5990999	SRR9220792	am_0171_0060_c1
SAMN11848831	SRX5990998	SRR9220793	am_0171_0060_b3
SAMN11848725	SRX5990997	SRR9220794	am_0025_0085_f1
SAMN11848726	SRX5990996	SRR9220795	am_0052_0075_a3
SAMN11848234	SRX5990995	SRR9220796	ao_0067_0047_d2
SAMN11848233	SRX5990994	SRR9220797	ao_0067_0047_c6
SAMN11848729	SRX5990993	SRR9220798	am_0052_0075_c4
SAMN11848730	SRX5990992	SRR9220799	am_0052_0075_d4
SAMN11848731	SRX5990991	SRR9220800	am_0052_0075_d5
SAMN11848732	SRX5990990	SRR9220801	am_0052_0075_e2
SAMN11848228	SRX5990989	SRR9220802	ao_0067_0047_b5
SAMN11848227	SRX5990988	SRR9220803	ao_0067_0047_b3
SAMN11848226	SRX5990987	SRR9220804	ao_0067_0047_a2
SAMN11848225	SRX5990986	SRR9220805	am_0224_0076_d9
SAMN11848232	SRX5990985	SRR9220806	ao_0067_0047_c3
SAMN11848231	SRX5990984	SRR9220807	ao_0067_0047_c2
SAMN11848230	SRX5990983	SRR9220808	ao_0067_0047_b7
SAMN11848229	SRX5990982	SRR9220809	ao_0067_0047_b6
SAMN11849121	SRX5992677	SRR9221882	af_0058_0071_d4
SAMN11849124	SRX5992676	SRR9221883	am_0224_0084_f7
SAMN11849125	SRX5992675	SRR9221884	aa_0143_0087_b9
SAMN11849591	SRX5992674	SRR9221885	am_0171_0035_f12
SAMN11849590	SRX5992673	SRR9221886	am_0171_0035_f11
SAMN11849593	SRX5992672	SRR9221887	am_0171_0035_f3
SAMN11849592	SRX5992671	SRR9221888	am_0171_0035_f2
SAMN11849494	SRX5992670	SRR9221889	af_0058_0034_f8
SAMN11849495	SRX5992669	SRR9221890	af_0058_0034_f9
SAMN11849589	SRX5992668	SRR9221891	am_0171_0035_f10
SAMN11849588	SRX5992667	SRR9221892	am_0171_0035_e9
SAMN11849490	SRX5992666	SRR9221893	af_0058_0034_f4
